timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2024-12-04T20:47:06.906426,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:06.906426,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:06.906426,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,89
2024-12-04T20:47:06.952569,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:47:07.197325,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:47:07.197838,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:47:07.414075,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:07.486987,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:08.438165,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:08.760407,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:47:08.760471,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,10590
2024-12-04T20:47:09.028184,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:09.028184,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:09.028184,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:09.028184,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,148
2024-12-04T20:47:09.082050,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:47:09.359648,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:09.564313,N/A,N/A,N/A,N/A,N/A,DATA,60
2024-12-04T20:47:09.769544,0.0.0.0,255.255.255.255,68,67,UDP,DHCP,350
2024-12-04T20:47:09.871542,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:10.383755,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:10.691209,0.0.0.0,255.255.255.255,68,67,UDP,DHCP,350
2024-12-04T20:47:10.998097,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:11.407646,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:11.817891,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:11.817891,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:12.125137,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:12.125137,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:12.329921,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:12.329921,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:12.431942,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:12.638044,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:12.638044,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:13.455756,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:13.662099,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:13.662099,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:14.377351,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:15.401263,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:15.615683,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:15.615683,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:16.433346,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:16.842942,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:17.252584,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:17.252584,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:17.447167,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:17.549722,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:17.550152,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:17.754658,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,220
2024-12-04T20:47:17.754992,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,240
2024-12-04T20:47:18.062263,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:18.063167,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:18.370417,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:19.086281,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:19.087115,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:19.109474,192.168.0.31,192.168.0.1,62841,53,UDP,DNS,92
2024-12-04T20:47:19.109946,192.168.0.31,192.168.0.1,55049,53,UDP,DNS,92
2024-12-04T20:47:19.110510,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,172
2024-12-04T20:47:19.110663,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,93
2024-12-04T20:47:19.110749,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,4187
2024-12-04T20:47:19.117637,192.168.0.1,192.168.0.31,53,62841,UDP,DNS,227
2024-12-04T20:47:19.118059,192.168.0.1,192.168.0.31,53,55049,UDP,DNS,276
2024-12-04T20:47:19.355208,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:19.355208,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,93
2024-12-04T20:47:19.355208,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:19.394446,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:19.398767,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:47:19.410015,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
